band	corpus	top1	top2	margin	top1_kind	top1_path	question
in	methodology	0.7253849	0.72239935	0.0030	spec	openspec/specs/log-schema-versioning/spec.md	Which file is actually the source of truth for how this project works — CLAUDE.md or something else?
in	methodology	0.67196923	0.6520819	0.0199	spec	openspec/specs/build-script-architecture/spec.md	can I write a python script for the build?
in	methodology	0.7742179	0.73397607	0.0402	spec	openspec/specs/knowledge-source-of-truth/spec.md	How old can a freshness stamp get before the component counts as stale?
in	methodology	0.75647205	0.7454715	0.0110	code	scripts/nix-toolbox.sh	Why can't I just run `nix store gc` on the tillandsias nix store?
in	methodology	0.6449614	0.6387091	0.0063	code	crates/tillandsias-logging/src/log_entry.rs	I hit a broken test while doing something unrelated. Am I obliged to file it?
in	methodology	0.6750723	0.66925275	0.0058	spec	openspec/specs/tray-minimal-ux/spec.md	There's a skill in .claude/skills and one in .opencode/skills — which do I edit?
in	methodology	0.7266253	0.71524674	0.0114	methodology	methodology/bootstrap/router.yaml	What command starts an autonomous session, and what must I read first?
in	methodology	0.68006796	0.63347876	0.0466	methodology	methodology/bootstrap/router.yaml	how many intents can I pick from the router?
in	methodology	0.6750908	0.63860774	0.0365	methodology	methodology/bootstrap/router.yaml	Before I edit any source, what do I have to record?
in	methodology	0.7431404	0.67908895	0.0641	methodology	methodology/convergence.yaml	Is there a hard limit on how big the methodology may grow relative to the codebase?
in	methodology	0.77186775	0.7367575	0.0351	spec	openspec/specs/versioning/spec.md	What is the version string format?
in	methodology	0.7725015	0.7693505	0.0032	methodology	methodology/versioning.yaml	Which branch is allowed to change the VERSION file?
in	methodology	0.59792954	0.5909665	0.0070	code	scripts/install-windows.ps1	How does a normal user end up on a stable build instead of a broken daily?
in	methodology	0.791218	0.78526646	0.0060	methodology	methodology/event/001-direct-main-methodology-push.yaml	Should methodology changes go on the methodology-refinements branch?
in	methodology	0.6205684	0.619592	0.0010	spec	openspec/specs/default-image/spec.md	What's the one-sentence core principle behind all of this?
in	methodology	0.7089512	0.69631106	0.0126	methodology	methodology/event/017-podman-runtime-blocker.yaml	My podman stack is wedged. Do I repair it or blow it away?
in	methodology	0.642959	0.6421972	0.0008	cheatsheet	cheatsheets/runtime/socket-container-health.md	Why do we prefer many tiny fast model calls over one big careful one?
in	methodology	0.7083637	0.6928354	0.0155	methodology	methodology/philosophy.yaml	A packet's stated implementation approach is dead but the goal still matters. Do I close it?
in	methodology	0.80368155	0.7893443	0.0143	methodology	methodology/litmus.yaml	What ambiguity score does a spec need before it can go active?
in	methodology	0.74652684	0.71761954	0.0289	methodology	methodology/spec-system.yaml	spec id format?
in	methodology	0.6583001	0.61195886	0.0463	methodology	methodology/verification.yaml	What are the S-levels and what does S2 mean?
in	methodology	0.7526853	0.6866451	0.0660	methodology	methodology/proximity.yaml	What exactly is a CentiColon measuring?
in	methodology	0.6663175	0.6637765	0.0025	spec	openspec/specs/clickable-trace-index/spec.md	What arguments does the #[trace] macro take?
in	methodology	0.7460162	0.7012975	0.0447	methodology	methodology/ci.yaml	Why is there only one GitHub Actions workflow?
in	methodology	0.79938835	0.7846844	0.0147	methodology	methodology/litmus.yaml	How fast does an 'instant' litmus test have to be, and what may it do?
in	methodology	0.78695834	0.78465927	0.0023	methodology	methodology/litmus.yaml	What fraction of active specs must have litmus tests?
in	methodology	0.7125524	0.71196175	0.0006	spec	openspec/specs/knowledge-source-of-truth/spec.md	Can a cheatsheet cite our own repo notes as its source?
in	methodology	0.7242927	0.7132867	0.0110	code	scripts/hooks/pre-push-local-gate.sh	Is images/default/cheatsheets/ supposed to be committed, given it's gitignored?
in	methodology	0.648754	0.64806515	0.0007	methodology	methodology/distributed-work.yaml	Is there a cap on how often a host may push?
in	methodology	0.6485991	0.63913983	0.0095	cheatsheet	docs/cheatsheets/tray-litmus-timeout-constraints.md	Can the recurring loop decide by itself to start treating build warnings as findings?
in	methodology	0.7285054	0.71616983	0.0123	spec	openspec/specs/wsl-daemon-orchestration/spec.md	Are blocking calls allowed in the tray event loop?
in	methodology	0.8449074	0.80494297	0.0400	methodology	methodology/multi-host-development.yaml	Is the macOS branch called macos-next?
in	methodology	0.73037195	0.69907993	0.0313	cheatsheet	cheatsheets/concurrent-git/agent-handoff.md	What do I have to do before every push to windows-next?
in	methodology	0.6235628	0.62343234	0.0001	code	crates/tillandsias-headless/src/vault_bootstrap.rs	Can I ssh into the guest VM to read its journals while debugging?
in	methodology	0.6480631	0.63892	0.0091	methodology	methodology/multi-host-development.yaml	How many branches does the remote carry?
in	methodology	0.5852528	0.58445334	0.0008	methodology	methodology/distributed-work.yaml	How long is a work claim good for?
in	methodology	0.7402056	0.7380894	0.0021	methodology	methodology/distributed-work.yaml	What's the difference between completed, verified and done on a packet?
in	methodology	0.68088746	0.67594296	0.0049	methodology	methodology/distributed-work.yaml	How do I get an order number for a packet I'm filing?
in	methodology	0.6824082	0.675144	0.0073	code	scripts/test-expire-claims-list-live-rows.sh	What's the right way to change a packet's status field?
in	methodology	0.71765405	0.6928121	0.0248	methodology	methodology/distributed-work.yaml	When am I allowed to just read plan/index.yaml instead of asking the MCP expert?
in	methodology	0.70660424	0.68270844	0.0239	methodology	methodology/distributed-work.yaml	Where does the agent_id in a lease come from — can I compose it myself?
in	methodology	0.68655515	0.68591577	0.0006	cheatsheet	cheatsheets/runtime/runtime-limitations.md	I'm running inside the forge and a tool I need isn't there. Where do I file for it?
in	methodology	0.78412944	0.7341709	0.0500	methodology	methodology/agent-observability.yaml	How long without activity before an in-progress task shows as stale?
in	methodology	0.730808	0.6908688	0.0399	methodology	methodology/agent-observability.yaml	How is the expert answer_rate computed?
in	methodology	0.673217	0.63044375	0.0428	methodology	methodology/multi-host-development.yaml	Should I stash my uncommitted work before pulling?
in	methodology	0.72400177	0.7224027	0.0016	methodology	methodology/markdown-distillation.yaml	Which markdown directories count as canonical rather than intake?
in	methodology	0.7286836	0.72748536	0.0012	methodology	methodology/provenance.yaml	What claim-strength labels can a methodology claim carry?
in	methodology	0.7667138	0.7643198	0.0024	methodology	methodology/provenance.yaml	Do we claim Banach-style contraction convergence?
in	methodology	0.7613964	0.71890795	0.0425	methodology	methodology/event/index.yaml	What statuses can an unknown event have?
in	methodology	0.8567473	0.6915622	0.1652	methodology	methodology/mo-full-attestation.yaml	What does the MO-FULL attestation line look like?
in	methodology	0.64358157	0.6385099	0.0051	spec	openspec/specs/mcp-on-demand/spec.md	How many agents can I run in parallel on this host right now?
in	methodology	0.7546568	0.7137307	0.0409	spec	openspec/specs/forge-as-only-runtime/spec.md	Can a forge improvement proposal ask for an extra host directory mount?
in	methodology	0.7670544	0.72408205	0.0430	methodology	methodology/next-forge-better.yaml	How do I tell whether to fix something in the forge or file it for the builder?
in	methodology	0.81579816	0.75012434	0.0657	methodology	methodology/litmus-framework.yaml	Where does the litmus framework put its mock boundary?
in	methodology	0.68269163	0.65584326	0.0268	methodology	methodology/litmus-centicolon-wiring.yaml	Should I work out a packet's residual centicolons by hand?
