band	corpus	top1	top2	margin	top1_kind	top1_path	question
in	methodology	0.7249861	0.72222847	0.0028	spec	openspec/specs/log-schema-versioning/spec.md	Which file is actually the source of truth for how this project works — CLAUDE.md or something else?
in	methodology	0.67206526	0.65208465	0.0200	spec	openspec/specs/build-script-architecture/spec.md	can I write a python script for the build?
in	methodology	0.7739702	0.73343676	0.0405	spec	openspec/specs/knowledge-source-of-truth/spec.md	How old can a freshness stamp get before the component counts as stale?
in	methodology	0.7568082	0.74569297	0.0111	code	scripts/nix-toolbox.sh	Why can't I just run `nix store gc` on the tillandsias nix store?
in	methodology	0.6447259	0.6381896	0.0065	code	crates/tillandsias-logging/src/log_entry.rs	I hit a broken test while doing something unrelated. Am I obliged to file it?
in	methodology	0.6756052	0.6691305	0.0065	spec	openspec/specs/tray-minimal-ux/spec.md	There's a skill in .claude/skills and one in .opencode/skills — which do I edit?
in	methodology	0.7266905	0.71531755	0.0114	methodology	methodology/bootstrap/router.yaml	What command starts an autonomous session, and what must I read first?
in	methodology	0.6798112	0.63347626	0.0463	methodology	methodology/bootstrap/router.yaml	how many intents can I pick from the router?
in	methodology	0.67518413	0.63867706	0.0365	methodology	methodology/bootstrap/router.yaml	Before I edit any source, what do I have to record?
in	methodology	0.7434669	0.67946345	0.0640	methodology	methodology/convergence.yaml	Is there a hard limit on how big the methodology may grow relative to the codebase?
in	methodology	0.771942	0.73675936	0.0352	spec	openspec/specs/versioning/spec.md	What is the version string format?
in	methodology	0.7726005	0.76913005	0.0035	methodology	methodology/versioning.yaml	Which branch is allowed to change the VERSION file?
in	methodology	0.6379481	0.59796625	0.0400	spec	openspec/specs/versioning/spec.md	How does a normal user end up on a stable build instead of a broken daily?
in	methodology	0.79101646	0.78527015	0.0057	methodology	methodology/event/001-direct-main-methodology-push.yaml	Should methodology changes go on the methodology-refinements branch?
in	methodology	0.62063915	0.6194686	0.0012	spec	openspec/specs/default-image/spec.md	What's the one-sentence core principle behind all of this?
in	methodology	0.70904636	0.6962243	0.0128	methodology	methodology/event/017-podman-runtime-blocker.yaml	My podman stack is wedged. Do I repair it or blow it away?
in	methodology	0.6428302	0.6420244	0.0008	cheatsheet	cheatsheets/runtime/socket-container-health.md	Why do we prefer many tiny fast model calls over one big careful one?
in	methodology	0.7086169	0.6930084	0.0156	methodology	methodology/philosophy.yaml	A packet's stated implementation approach is dead but the goal still matters. Do I close it?
in	methodology	0.8035596	0.78906554	0.0145	methodology	methodology/litmus.yaml	What ambiguity score does a spec need before it can go active?
in	methodology	0.74650514	0.7179455	0.0286	methodology	methodology/spec-system.yaml	spec id format?
in	methodology	0.65827125	0.6120439	0.0462	methodology	methodology/verification.yaml	What are the S-levels and what does S2 mean?
in	methodology	0.7527942	0.68651974	0.0663	methodology	methodology/proximity.yaml	What exactly is a CentiColon measuring?
in	methodology	0.6661181	0.66376877	0.0023	spec	openspec/specs/clickable-trace-index/spec.md	What arguments does the #[trace] macro take?
in	methodology	0.74600947	0.70126146	0.0447	methodology	methodology/ci.yaml	Why is there only one GitHub Actions workflow?
in	methodology	0.7996832	0.7848605	0.0148	methodology	methodology/litmus.yaml	How fast does an 'instant' litmus test have to be, and what may it do?
in	methodology	0.7868545	0.7849185	0.0019	methodology	methodology/litmus.yaml	What fraction of active specs must have litmus tests?
in	methodology	0.71261984	0.7119997	0.0006	spec	openspec/specs/knowledge-source-of-truth/spec.md	Can a cheatsheet cite our own repo notes as its source?
in	methodology	0.7243692	0.71346384	0.0109	code	scripts/hooks/pre-push-local-gate.sh	Is images/default/cheatsheets/ supposed to be committed, given it's gitignored?
in	methodology	0.6654828	0.6490678	0.0164	methodology	methodology/in-forge-delegation.yaml	Is there a cap on how often a host may push?
in	methodology	0.6488544	0.63921744	0.0096	cheatsheet	docs/cheatsheets/tray-litmus-timeout-constraints.md	Can the recurring loop decide by itself to start treating build warnings as findings?
in	methodology	0.7284284	0.7163414	0.0121	spec	openspec/specs/wsl-daemon-orchestration/spec.md	Are blocking calls allowed in the tray event loop?
in	methodology	0.8449912	0.8049735	0.0400	methodology	methodology/multi-host-development.yaml	Is the macOS branch called macos-next?
in	methodology	0.73025775	0.69919705	0.0311	cheatsheet	cheatsheets/concurrent-git/agent-handoff.md	What do I have to do before every push to windows-next?
in	methodology	0.62333655	0.62314266	0.0002	code	crates/tillandsias-headless/src/vault_bootstrap.rs	Can I ssh into the guest VM to read its journals while debugging?
in	methodology	0.64807224	0.6387818	0.0093	methodology	methodology/multi-host-development.yaml	How many branches does the remote carry?
in	methodology	0.5854545	0.58429295	0.0012	methodology	methodology/distributed-work.yaml	How long is a work claim good for?
in	methodology	0.73995835	0.7382104	0.0017	methodology	methodology/distributed-work.yaml	What's the difference between completed, verified and done on a packet?
in	methodology	0.6810242	0.6761695	0.0049	methodology	methodology/distributed-work.yaml	How do I get an order number for a packet I'm filing?
in	methodology	0.68244916	0.67533505	0.0071	code	scripts/test-expire-claims-list-live-rows.sh	What's the right way to change a packet's status field?
in	methodology	0.71772236	0.69261014	0.0251	methodology	methodology/distributed-work.yaml	When am I allowed to just read plan/index.yaml instead of asking the MCP expert?
in	methodology	0.7063473	0.68261504	0.0237	methodology	methodology/distributed-work.yaml	Where does the agent_id in a lease come from — can I compose it myself?
in	methodology	0.68651843	0.68576276	0.0008	cheatsheet	cheatsheets/runtime/runtime-limitations.md	I'm running inside the forge and a tool I need isn't there. Where do I file for it?
in	methodology	0.7841257	0.73414284	0.0500	methodology	methodology/agent-observability.yaml	How long without activity before an in-progress task shows as stale?
in	methodology	0.7642208	0.73079395	0.0334	methodology	methodology/in-forge-delegation.yaml	How is the expert answer_rate computed?
in	methodology	0.67311895	0.6303942	0.0427	methodology	methodology/multi-host-development.yaml	Should I stash my uncommitted work before pulling?
in	methodology	0.7237935	0.7223714	0.0014	methodology	methodology/markdown-distillation.yaml	Which markdown directories count as canonical rather than intake?
in	methodology	0.7285124	0.72763574	0.0009	methodology	methodology/provenance.yaml	What claim-strength labels can a methodology claim carry?
in	methodology	0.76660323	0.76442456	0.0022	methodology	methodology/provenance.yaml	Do we claim Banach-style contraction convergence?
in	methodology	0.7616193	0.71905684	0.0426	methodology	methodology/event/index.yaml	What statuses can an unknown event have?
in	methodology	0.85685617	0.6916853	0.1652	methodology	methodology/mo-full-attestation.yaml	What does the MO-FULL attestation line look like?
