band	corpus	top1	top2	margin	top1_kind	top1_path	question
in	methodology	0.5956187	0.59428596	0.0013	spec	openspec/specs/default-image/spec.md	Which file is actually the source of truth for how this project works — CLAUDE.md or something else?
in	methodology	0.64828175	0.6355692	0.0127	cheatsheet	docs/cheatsheets/windows-setup.md	can I write a python script for the build?
in	methodology	0.6656957	0.6375326	0.0282	code	scripts/freshness-inventory.sh	How old can a freshness stamp get before the component counts as stale?
in	methodology	0.65481883	0.6452834	0.0095	cheatsheet	cheatsheets/build/nix-flake-caching.md	Why can't I just run `nix store gc` on the tillandsias nix store?
in	methodology	0.57849735	0.5629454	0.0156	code	scripts/check-fragment-closure-evidence-added.sh	I hit a broken test while doing something unrelated. Am I obliged to file it?
in	methodology	0.6173036	0.6066896	0.0106	code	scripts/check-skill-canonicalization.sh	There's a skill in .claude/skills and one in .opencode/skills — which do I edit?
in	methodology	0.6262895	0.6108586	0.0154	methodology	methodology/bootstrap/router.yaml	What command starts an autonomous session, and what must I read first?
in	methodology	0.65982884	0.61362076	0.0462	methodology	methodology/bootstrap/router.yaml	how many intents can I pick from the router?
in	methodology	0.6073714	0.59199554	0.0154	methodology	methodology/bootstrap/router.yaml	Before I edit any source, what do I have to record?
in	methodology	0.61164737	0.57012594	0.0415	methodology	methodology/convergence.yaml	Is there a hard limit on how big the methodology may grow relative to the codebase?
in	methodology	0.6466657	0.6461326	0.0005	spec	openspec/specs/cache-recovery-mechanism/spec.md	What is the version string format?
in	methodology	0.658995	0.6252126	0.0338	methodology	methodology/versioning.yaml	Which branch is allowed to change the VERSION file?
in	methodology	0.5823838	0.56670207	0.0157	code	scripts/install-windows.ps1	How does a normal user end up on a stable build instead of a broken daily?
in	methodology	0.6943009	0.6706258	0.0237	methodology	methodology/versioning.yaml	Should methodology changes go on the methodology-refinements branch?
in	methodology	0.5466051	0.5383186	0.0083	cheatsheet	cheatsheets/web/sse.md	What's the one-sentence core principle behind all of this?
in	methodology	0.58612084	0.58408606	0.0020	cheatsheet	docs/cheatsheets/storage-budget.md	My podman stack is wedged. Do I repair it or blow it away?
in	methodology	0.5596751	0.5550272	0.0046	methodology	methodology/philosophy.yaml	Why do we prefer many tiny fast model calls over one big careful one?
in	methodology	0.66109884	0.613017	0.0481	methodology	methodology/philosophy.yaml	A packet's stated implementation approach is dead but the goal still matters. Do I close it?
in	methodology	0.6883729	0.6629715	0.0254	methodology	methodology/convergence.yaml	What ambiguity score does a spec need before it can go active?
in	methodology	0.6342198	0.6086467	0.0256	methodology	methodology/spec-system.yaml	spec id format?
in	methodology	0.58976626	0.5121295	0.0776	methodology	methodology/verification.yaml	What are the S-levels and what does S2 mean?
in	methodology	0.6997575	0.6080458	0.0917	methodology	methodology/proximity.yaml	What exactly is a CentiColon measuring?
in	methodology	0.65946543	0.6449788	0.0145	spec	openspec/specs/clickable-trace-index/spec.md	What arguments does the #[trace] macro take?
in	methodology	0.6468797	0.6368033	0.0101	methodology	methodology/ci.yaml	Why is there only one GitHub Actions workflow?
in	methodology	0.62734675	0.61529046	0.0121	methodology	methodology/event/025-litmus-test-sizing-taxonomy.yaml	How fast does an 'instant' litmus test have to be, and what may it do?
in	methodology	0.6817998	0.668741	0.0131	spec	openspec/specs/observability-convergence/spec.md	What fraction of active specs must have litmus tests?
in	methodology	0.67627823	0.6562677	0.0200	methodology	methodology/cheatsheets.yaml	Can a cheatsheet cite our own repo notes as its source?
in	methodology	0.6228359	0.6085137	0.0143	code	scripts/stage-image-cheatsheets.sh	Is images/default/cheatsheets/ supposed to be committed, given it's gitignored?
in	methodology	0.5868747	0.58324414	0.0036	code	crates/tillandsias-control-wire/src/lib.rs	Is there a cap on how often a host may push?
in	methodology	0.5689568	0.56223464	0.0067	code	crates/tillandsias-headless/src/vault_bootstrap.rs	Can the recurring loop decide by itself to start treating build warnings as findings?
in	methodology	0.69246286	0.64057	0.0519	spec	openspec/specs/wsl-daemon-orchestration/spec.md	Are blocking calls allowed in the tray event loop?
in	methodology	0.71898544	0.6111875	0.1078	methodology	methodology/multi-host-development.yaml	Is the macOS branch called macos-next?
