band	corpus	top1	top2	margin	top1_kind	top1_path	question
in	methodology	0.7019551	0.70064646	0.0013	cheatsheet	cheatsheets/agents/claude-code.md	Which file is actually the source of truth for how this project works — CLAUDE.md or something else?
in	methodology	0.7356787	0.7113624	0.0243	spec	openspec/specs/build-script-architecture/spec.md	can I write a python script for the build?
in	methodology	0.7143592	0.7143592	0.0000	spec	openspec/specs/forge-forward-compat/spec.md	How old can a freshness stamp get before the component counts as stale?
in	methodology	0.8346461	0.7678475	0.0668	cheatsheet	cheatsheets/build/nix-flake-caching.md	Why can't I just run `nix store gc` on the tillandsias nix store?
in	methodology	0.6038926	0.60227406	0.0016	methodology	methodology/event/031-markdown-sprawl-distillation.yaml	I hit a broken test while doing something unrelated. Am I obliged to file it?
in	methodology	0.6683993	0.6588694	0.0095	spec	openspec/specs/tray-minimal-ux/spec.md	There's a skill in .claude/skills and one in .opencode/skills — which do I edit?
in	methodology	0.69098663	0.5858092	0.1052	methodology	methodology/bootstrap/router.yaml	What command starts an autonomous session, and what must I read first?
in	methodology	0.6882428	0.68114793	0.0071	methodology	methodology/bootstrap/router.yaml	how many intents can I pick from the router?
in	methodology	0.6054015	0.5767867	0.0286	methodology	methodology/bootstrap/router.yaml	Before I edit any source, what do I have to record?
in	methodology	0.6845974	0.6553439	0.0293	methodology	methodology/convergence.yaml	Is there a hard limit on how big the methodology may grow relative to the codebase?
in	methodology	0.73936844	0.7380148	0.0014	methodology	methodology/versioning.yaml	What is the version string format?
in	methodology	0.7820131	0.77668345	0.0053	methodology	methodology/versioning.yaml	Which branch is allowed to change the VERSION file?
in	methodology	0.60007364	0.57966286	0.0204	code	scripts/install-windows.ps1	How does a normal user end up on a stable build instead of a broken daily?
in	methodology	0.84544086	0.83965635	0.0058	methodology	methodology/event/001-direct-main-methodology-push.yaml	Should methodology changes go on the methodology-refinements branch?
in	methodology	0.63102746	0.6246402	0.0064	methodology	methodology/event/000-template-unpredicted.yaml	What's the one-sentence core principle behind all of this?
in	methodology	0.78339267	0.7808859	0.0025	methodology	methodology/event/029-podman-control-plane-split-brain.yaml	My podman stack is wedged. Do I repair it or blow it away?
in	methodology	0.6557236	0.63963854	0.0161	cheatsheet	cheatsheets/runtime/socket-enclave-diagnostics.md	Why do we prefer many tiny fast model calls over one big careful one?
in	methodology	0.6941596	0.685923	0.0082	methodology	methodology/philosophy.yaml	A packet's stated implementation approach is dead but the goal still matters. Do I close it?
in	methodology	0.71167266	0.70708805	0.0046	methodology	methodology/event/009-zero-trace-active-only.yaml	What ambiguity score does a spec need before it can go active?
in	methodology	0.69746476	0.69599974	0.0015	cheatsheet	cheatsheets/runtime/socket-container-health.md	spec id format?
in	methodology	0.61790895	0.5268767	0.0910	cheatsheet	docs/cheatsheets/verification-levels.md	What are the S-levels and what does S2 mean?
in	methodology	0.71920735	0.6958235	0.0234	methodology	methodology/proximity.yaml	What exactly is a CentiColon measuring?
in	methodology	0.72910845	0.7090697	0.0200	cheatsheet	docs/cheatsheets/openspec-methodology.md	What arguments does the #[trace] macro take?
in	methodology	0.69583696	0.66331154	0.0325	code	scripts/release-preflight.sh	Why is there only one GitHub Actions workflow?
in	methodology	0.721029	0.7170043	0.0040	methodology	methodology/litmus.yaml	How fast does an 'instant' litmus test have to be, and what may it do?
in	methodology	0.7788601	0.77697456	0.0019	methodology	methodology/litmus.yaml	What fraction of active specs must have litmus tests?
in	methodology	0.8072956	0.7784293	0.0289	cheatsheet	cheatsheets/runtime/cheatsheet-architecture-v2.md	Can a cheatsheet cite our own repo notes as its source?
in	methodology	0.6742384	0.6599141	0.0143	methodology	methodology/cheatsheets.yaml	Is images/default/cheatsheets/ supposed to be committed, given it's gitignored?
in	methodology	0.63278216	0.60929745	0.0235	code	crates/tillandsias-headless/src/vsock_server.rs	Is there a cap on how often a host may push?
in	methodology	0.6595315	0.6447878	0.0147	methodology	methodology/event/index.yaml	Can the recurring loop decide by itself to start treating build warnings as findings?
in	methodology	0.69372624	0.6797327	0.0140	cheatsheet	cheatsheets/runtime/enclave-startup-sequencing.md	Are blocking calls allowed in the tray event loop?
in	methodology	0.7863434	0.71290433	0.0734	methodology	methodology/multi-host-development.yaml	Is the macOS branch called macos-next?
in	methodology	0.71612865	0.70856154	0.0076	cheatsheet	cheatsheets/concurrent-git/branches.md	What do I have to do before every push to windows-next?
in	methodology	0.6267739	0.61269504	0.0141	methodology	methodology/multi-host-development.yaml	Can I ssh into the guest VM to read its journals while debugging?
in	methodology	0.7208727	0.66421735	0.0567	methodology	methodology/event/030-multi-host-branch-coordination.yaml	How many branches does the remote carry?
in	methodology	0.5438068	0.53465635	0.0092	methodology	methodology/distributed-work.yaml	How long is a work claim good for?
in	methodology	0.7105591	0.69473636	0.0158	methodology	methodology/distributed-work.yaml	What's the difference between completed, verified and done on a packet?
in	methodology	0.7122094	0.66945857	0.0428	methodology	methodology/distributed-work.yaml	How do I get an order number for a packet I'm filing?
in	methodology	0.70054716	0.6755196	0.0250	methodology	methodology/distributed-work.yaml	What's the right way to change a packet's status field?
in	methodology	0.7262483	0.67884994	0.0474	methodology	methodology/distributed-work.yaml	When am I allowed to just read plan/index.yaml instead of asking the MCP expert?
in	methodology	0.7391798	0.7052444	0.0339	methodology	methodology/distributed-work.yaml	Where does the agent_id in a lease come from — can I compose it myself?
in	methodology	0.7109755	0.69702935	0.0139	methodology	methodology/next-forge-better.yaml	I'm running inside the forge and a tool I need isn't there. Where do I file for it?
in	methodology	0.7132649	0.69374496	0.0195	methodology	methodology/multi-host-development.yaml	How long without activity before an in-progress task shows as stale?
in	methodology	0.80260557	0.73589784	0.0667	methodology	methodology/agent-observability.yaml	How is the expert answer_rate computed?
