band	verdict	pair	top1	question
near	UNSUPPORTED	NO/YES	0.68842924	Is cargo-audit or cargo-deny run as part of any gate?
near	UNSUPPORTED	NO/YES	0.7038652	What line-coverage percentage must the Rust unit tests reach?
near	UNSUPPORTED	NO/YES	0.6958143	How many days may a deprecated spec sit before it must be moved to obsolete?
near	UNSUPPORTED	NO/YES	0.7035648	What is the current head commit of origin/osx-next?
near	UNSUPPORTED	NO/YES	0.705121	How many delegates are allowed at ramp stage 1?
near	UNSUPPORTED	NO/YES	0.6846984	How long may a packet stay `blocked` before it must be escalated to the operator?
near	UNSUPPORTED	NO/YES	0.64186054	How do I attach gdb or lldb to a hung tray process and get a backtrace?
near	UNSUPPORTED	NO/YES	0.6791115	What ack-latency number should page someone for the git mirror?
near	UNSUPPORTED	NO/YES	0.76773185	What is the SHA-256 of the current published tillandsias-linux-x86_64 binary?
near	UNSUPPORTED	NO/YES	0.7465771	What screen-reader support does the tray menu have?
near	UNSUPPORTED	NO/YES	0.7485693	Are there keyboard shortcuts for opening the tray menu?
near	UNSUPPORTED	NO/YES	0.66724074	How do I run the litmus suite against a remote host?
near	UNSUPPORTED	NO/YES	0.64973557	How many releases have been published so far?
near	UNSUPPORTED	NO/YES	0.62384015	Which model does NanoClawV2 itself run on?
near	UNSUPPORTED	NO/YES	0.72479916	Is there an uptime or availability target for the enclave services?
near	UNSUPPORTED	NO/YES	0.7028757	Do you run Dependabot or Renovate to keep Cargo.lock current?
near	UNSUPPORTED	NO/YES	0.6889388	Is there a cargo-fuzz target for the control-wire frame parser?
near	CONTRADICTION	NO/NO	0.62366194	Does the test suite run under Miri?
near	UNSUPPORTED	NO/YES	0.7561118	What's the test coverage percentage for the workspace?
near	UNSUPPORTED	NO/YES	0.63679385	What in-corpus and near-miss cosine bands did the macOS host measure for spec_answer?
near	UNSUPPORTED	NO/YES	0.66894037	Which specific fragments were folded in the 101-fragment compaction on 2026-08-22?
near	UNSUPPORTED	NO/YES	0.6687394	How long did the 661-packet archive sweep take in wall-clock seconds?
near	UNSUPPORTED	NO/YES	0.6672285	How many bytes is plan/index.yaml after the sweep?
near	UNSUPPORTED	NO/YES	0.6306934	What's the upstream Bun issue number for the arm64 segfault we hit?
near	UNSUPPORTED	NO/YES	0.6696559	Which commit introduced the em-dash into install-windows.ps1 that broke saved-file runs?
near	UNSUPPORTED	NO/YES	0.5771859	What did the five Raspberry Pi 5 nodes cost?
near	UNSUPPORTED	NO/YES	0.6174496	Is there a support email or chat channel where users report problems?
near	UNSUPPORTED	NO/YES	0.6195968	What's the security vulnerability disclosure process for this project?
near	UNSUPPORTED	NO/YES	0.7273018	When is v1.0 scheduled to ship?
near	UNSUPPORTED	NO/YES	0.70882434	What's the p50 end-to-end wall-clock time of a complete ./build.sh --ci-full run?
near	UNSUPPORTED	NO/YES	0.7004116	What memory limit is set on the tray process itself?
near	UNSUPPORTED	NO/YES	0.65448976	Which cargo-fuzz targets exist for the control-wire decoder?
near	CONTRADICTION	NO/NO	0.61894125	How do I generate a code coverage report for the workspace?
