band	hit_rank	verdict	pair	path	question
near	1	UNSUPPORTED	NO/YES	scripts/gate-stamp.sh	Is cargo-audit or cargo-deny run as part of any gate?
near	2	UNSUPPORTED	NO/YES	openspec/specs/ci-release/spec.md	Is cargo-audit or cargo-deny run as part of any gate?
near	3	CONTRADICTION	NO/NO	methodology/event/026-rustls-musl-static-tls-strategy.yaml	Is cargo-audit or cargo-deny run as part of any gate?
near	4	UNSUPPORTED	NO/YES	cheatsheets/runtime/forge-cache-semantics.md	Is cargo-audit or cargo-deny run as part of any gate?
near	5	UNSUPPORTED	NO/YES	cheatsheets/runtime/forge-cache-semantics.md	Is cargo-audit or cargo-deny run as part of any gate?
near	1	UNSUPPORTED	NO/YES	openspec/specs/spec-trace-coverage-threshold/spec.md	What line-coverage percentage must the Rust unit tests reach?
near	2	UNSUPPORTED	NO/YES	openspec/specs/spec-traceability/spec.md	What line-coverage percentage must the Rust unit tests reach?
near	3	CONTRADICTION	YES/YES	methodology/litmus.yaml	What line-coverage percentage must the Rust unit tests reach?
near	4	UNSUPPORTED	NO/YES	docs/cheatsheets/cache-semantics-implementation.md	What line-coverage percentage must the Rust unit tests reach?
near	5	UNSUPPORTED	NO/YES	cheatsheets/runtime/testing-best-practices.md	What line-coverage percentage must the Rust unit tests reach?
near	1	UNSUPPORTED	NO/YES	openspec/specs/observability-convergence/spec.md	How many days may a deprecated spec sit before it must be moved to obsolete?
near	2	UNSUPPORTED	NO/YES	openspec/specs/observability-convergence/spec.md	How many days may a deprecated spec sit before it must be moved to obsolete?
near	3	UNSUPPORTED	NO/YES	openspec/specs/cheatsheet-mcp-server/spec.md	How many days may a deprecated spec sit before it must be moved to obsolete?
near	4	UNSUPPORTED	NO/YES	openspec/specs/cross-platform/spec.md	How many days may a deprecated spec sit before it must be moved to obsolete?
near	5	UNSUPPORTED	NO/YES	openspec/specs/download-telemetry/spec.md	How many days may a deprecated spec sit before it must be moved to obsolete?
near	1	UNSUPPORTED	NO/YES	methodology/multi-host-development.yaml	What is the current head commit of origin/osx-next?
near	2	UNSUPPORTED	NO/YES	cheatsheets/concurrent-git/branches.md	What is the current head commit of origin/osx-next?
near	3	UNSUPPORTED	NO/YES	methodology/multi-host-development.yaml	What is the current head commit of origin/osx-next?
near	4	UNSUPPORTED	NO/YES	cheatsheets/concurrent-git/branches.md	What is the current head commit of origin/osx-next?
near	5	UNSUPPORTED	NO/YES	cheatsheets/concurrent-git/branches.md	What is the current head commit of origin/osx-next?
near	1	UNSUPPORTED	NO/YES	methodology/in-forge-delegation.yaml	How many delegates are allowed at ramp stage 1?
near	2	UNSUPPORTED	NO/YES	methodology/in-forge-delegation.yaml	How many delegates are allowed at ramp stage 1?
near	3	UNSUPPORTED	NO/YES	scripts/claude-mcp.sh	How many delegates are allowed at ramp stage 1?
near	4	UNSUPPORTED	NO/YES	scripts/test-ensure-toolbox-properties.sh	How many delegates are allowed at ramp stage 1?
near	5	UNSUPPORTED	NO/YES	cheatsheets/runtime/enclave-proxy-patterns.md	How many delegates are allowed at ramp stage 1?
near	1	UNSUPPORTED	NO/YES	methodology/distributed-work.yaml	How long may a packet stay `blocked` before it must be escalated to the operator?
near	2	UNSUPPORTED	NO/YES	openspec/specs/forge-standalone/spec.md	How long may a packet stay `blocked` before it must be escalated to the operator?
near	3	UNSUPPORTED	NO/YES	methodology/distributed-work.yaml	How long may a packet stay `blocked` before it must be escalated to the operator?
