band	corpus	top1	top2	margin	top1_kind	top1_path	question
in	methodology	0.735182	0.7325569	0.0026	spec	openspec/specs/default-image/spec.md	Which file is actually the source of truth for how this project works — CLAUDE.md or something else?
in	methodology	0.7035481	0.7008858	0.0027	cheatsheet	cheatsheets/build/poetry.md	can I write a python script for the build?
in	methodology	0.79880583	0.774295	0.0245	spec	openspec/specs/knowledge-source-of-truth/spec.md	How old can a freshness stamp get before the component counts as stale?
in	methodology	0.74605376	0.7374032	0.0087	cheatsheet	cheatsheets/runtime/forge-shared-cache-via-nix.md	Why can't I just run `nix store gc` on the tillandsias nix store?
in	methodology	0.69592416	0.69039327	0.0055	methodology	methodology/multi-host-development.yaml	I hit a broken test while doing something unrelated. Am I obliged to file it?
in	methodology	0.74109286	0.7315126	0.0096	code	scripts/check-skill-canonicalization.sh	There's a skill in .claude/skills and one in .opencode/skills — which do I edit?
in	methodology	0.75576705	0.72652686	0.0292	methodology	methodology/bootstrap/router.yaml	What command starts an autonomous session, and what must I read first?
in	methodology	0.7290673	0.69195884	0.0371	methodology	methodology/bootstrap/router.yaml	how many intents can I pick from the router?
in	methodology	0.7326897	0.70077574	0.0319	methodology	methodology/bootstrap/router.yaml	Before I edit any source, what do I have to record?
in	methodology	0.76878256	0.7154118	0.0534	methodology	methodology/convergence.yaml	Is there a hard limit on how big the methodology may grow relative to the codebase?
in	methodology	0.77430207	0.7560502	0.0183	cheatsheet	cheatsheets/runtime/container-image-tagging.md	What is the version string format?
in	methodology	0.7970682	0.7679975	0.0291	methodology	methodology/versioning.yaml	Which branch is allowed to change the VERSION file?
in	methodology	0.6529084	0.64820063	0.0047	spec	openspec/specs/vsock-transport/spec.md	How does a normal user end up on a stable build instead of a broken daily?
in	methodology	0.816217	0.7793161	0.0369	methodology	methodology/versioning.yaml	Should methodology changes go on the methodology-refinements branch?
in	methodology	0.6712134	0.65616494	0.0150	methodology	methodology/philosophy.yaml	What's the one-sentence core principle behind all of this?
in	methodology	0.72392416	0.71440417	0.0095	methodology	methodology/event/017-podman-runtime-blocker.yaml	My podman stack is wedged. Do I repair it or blow it away?
in	methodology	0.64679676	0.638827	0.0080	code	images/inference/entrypoint.sh	Why do we prefer many tiny fast model calls over one big careful one?
in	methodology	0.756952	0.7474634	0.0095	methodology	methodology/distributed-work.yaml	A packet's stated implementation approach is dead but the goal still matters. Do I close it?
in	methodology	0.8062762	0.7986252	0.0077	methodology	methodology/litmus.yaml	What ambiguity score does a spec need before it can go active?
in	methodology	0.7632825	0.73315674	0.0301	methodology	methodology/spec-system.yaml	spec id format?
in	methodology	0.6799595	0.6366226	0.0433	methodology	methodology/verification.yaml	What are the S-levels and what does S2 mean?
in	methodology	0.7993327	0.75712585	0.0422	methodology	methodology/proximity.yaml	What exactly is a CentiColon measuring?
in	methodology	0.69571596	0.6918049	0.0039	methodology	methodology/ci.yaml	What arguments does the #[trace] macro take?
in	methodology	0.792496	0.76315194	0.0293	methodology	methodology/ci.yaml	Why is there only one GitHub Actions workflow?
in	methodology	0.7694935	0.75751674	0.0120	methodology	methodology/event/025-litmus-test-sizing-taxonomy.yaml	How fast does an 'instant' litmus test have to be, and what may it do?
in	methodology	0.8095078	0.7951569	0.0144	methodology	methodology/litmus.yaml	What fraction of active specs must have litmus tests?
in	methodology	0.7702894	0.76972806	0.0006	methodology	methodology/cheatsheets.yaml	Can a cheatsheet cite our own repo notes as its source?
in	methodology	0.75777495	0.74993676	0.0078	code	scripts/hooks/pre-push-local-gate.sh	Is images/default/cheatsheets/ supposed to be committed, given it's gitignored?
in	methodology	0.6881424	0.6792231	0.0089	code	crates/tillandsias-headless/src/vsock_server.rs	Is there a cap on how often a host may push?
in	methodology	0.6778626	0.676181	0.0017	code	scripts/check-forge-findings-persisted.sh	Can the recurring loop decide by itself to start treating build warnings as findings?
in	methodology	0.7621306	0.73391896	0.0282	spec	openspec/specs/runtime-diagnostics-stream/spec.md	Are blocking calls allowed in the tray event loop?
in	methodology	0.84997666	0.79476583	0.0552	methodology	methodology/multi-host-development.yaml	Is the macOS branch called macos-next?
in	methodology	0.7720582	0.7432688	0.0288	cheatsheet	cheatsheets/concurrent-git/agent-handoff.md	What do I have to do before every push to windows-next?
in	methodology	0.6812869	0.6614514	0.0198	code	crates/tillandsias-headless/src/vault_bootstrap.rs	Can I ssh into the guest VM to read its journals while debugging?
in	methodology	0.6939177	0.69045675	0.0035	methodology	methodology/multi-host-development.yaml	How many branches does the remote carry?
in	methodology	0.6488724	0.6385868	0.0103	methodology	methodology/distributed-work.yaml	How long is a work claim good for?
in	methodology	0.7789743	0.7328324	0.0461	methodology	methodology/distributed-work.yaml	What's the difference between completed, verified and done on a packet?
in	methodology	0.7429669	0.74216753	0.0008	code	crates/tillandsias-plan/src/lib.rs	How do I get an order number for a packet I'm filing?
in	methodology	0.73773676	0.73714477	0.0006	code	crates/tillandsias-plan/src/lib.rs	What's the right way to change a packet's status field?
in	methodology	0.7560528	0.74102926	0.0150	methodology	methodology/distributed-work.yaml	When am I allowed to just read plan/index.yaml instead of asking the MCP expert?
in	methodology	0.74433744	0.727004	0.0173	methodology	methodology/distributed-work.yaml	Where does the agent_id in a lease come from — can I compose it myself?
in	methodology	0.74542373	0.7431909	0.0022	methodology	methodology/distributed-work.yaml	I'm running inside the forge and a tool I need isn't there. Where do I file for it?
in	methodology	0.8213422	0.77050775	0.0508	methodology	methodology/agent-observability.yaml	How long without activity before an in-progress task shows as stale?
in	methodology	0.7477894	0.7121677	0.0356	methodology	methodology/agent-observability.yaml	How is the expert answer_rate computed?
in	methodology	0.71582234	0.7113784	0.0044	methodology	methodology/between-commits-work-discipline.yaml	Should I stash my uncommitted work before pulling?
